state,before,after
AL,-1.11739030505275,0.325189854875887
AR,-1.27687055276209,-1.04591245292282
AZ,-1.44825762452593,-3.89437702790452
CA,-0.963021266103484,-4.07848539440387
CO,-1.39058035217802,-1.04878525325812
CT,0.194886999819353,-1.61566537190817
DE,-0.701678145753903,-0.131249027106056
FL,0.637087972879554,1.31948992908449
GA,-0.785194007745797,0.520471336752964
IA,0.560502503096164,-0.430613354610089
ID,-2.16181995031052,-3.13790987199737
IL,-0.8828319457208,-0.778505277163548
IN,-0.298671274194129,-0.26987608669
KS,-0.621458427555991,0.437168147036994
KY,-0.785649650073416,-0.671297791466674
LA,-2.68789160924741,-1.1139963537458
MA,1.14733449430019,-0.0867150933983933
MD,-2.30277511685785,-2.71434341681754
ME,0.178349977943875,-1.008287015937
MI,-1.40304733756978,-0.509863309669386
MN,-0.426276479972038,-1.46783467638389
MO,-0.832595109136268,-1.32701340938856
MS,-0.529397826963488,1.50947765752368
MT,-2.10496836741844,-2.54681978936476
NC,-2.66454106751482,-1.7146209542469
ND,-0.72918101012258,-0.979815801040709
NE,-0.566665800939316,1.27694439460093
NH,-0.264595339287291,-1.45901626883936
NJ,-1.32661670549215,-2.5327897582053
NM,-1.44425544072791,-2.52377590940481
NV,-0.474914804929139,-2.9821844573257
NY,0.545845857200874,-1.46138364067131
OH,-1.014407414901,-1.54422849189299
OK,-1.35958653391031,0.647266336641193
OR,-3.02579964138782,-4.69595164225299
PA,-2.36549301932278,-3.77898451911801
RI,-0.958713698428162,-2.75730177810261
SC,-1.09113217136392,-0.742040764058517
SD,0.104887267027237,0.534613696685511
TN,-1.18273436150511,-0.853070010018883
TX,-1.81689798416232,0.48353811483171
UT,-2.05238597824579,-3.59125599658098
VA,-2.04747439147372,-1.70527660245884
VT,0.666769262771479,-0.925382180753898
WA,-2.54748728291992,-2.59784653987928
WI,-0.0964184592524204,0.236707737507472
WV,1.17509974702001,0.828541037998505
WY,-1.5399361466654,-1.73985232269476
